"State","County","Number of providers with 30-patient waivers","Number of providers with 100-patient waivers","Number of providers with 275-patient waivers","Total number of waivered providers","Patient capacity","Patient capacity rate","High need for treatment services","Low-to-no patient capacity"
"Virginia","King and Queen County","0","0","0","0","0","0","Yes","Yes"
"Virginia","King George County","0","0","0","0","0","0","Yes","Yes"
"Virginia","King William County","1","0","0","1","30","183.67","Yes","Yes"
"Virginia","Lancaster County","0","0","0","0","0","0","Yes","Yes"
"Virginia","Lee County","1","1","0","2","130","537.66","No","No"
"Virginia","Loudoun County","15","3","2","20","1,300","336.84","No","Yes"
"Virginia","Louisa County","1","0","0","1","30","85.14","No","Yes"
"Virginia","Lunenburg County","0","0","0","0","0","0","No","Yes"
"Virginia","Madison County","0","0","0","0","0","0","Yes","Yes"
"Virginia","Mathews County","0","0","0","0","0","0","Yes","Yes"
"Virginia","Mecklenburg County","2","0","0","2","60","194.23","Yes","Yes"
"Virginia","Middlesex County","0","0","0","0","0","0","No","Yes"
"Virginia","Montgomery County","5","8","5","18","2,325","2,357.96","No","No"
"Virginia","Nelson County","0","0","0","0","0","0","Yes","Yes"
"Virginia","New Kent County","0","1","0","1","100","472.88","No","Yes"
"Virginia","Northampton County","0","3","0","3","300","2,471.37","Yes","No"
"Virginia","Northumberland County","0","0","0","0","0","0","No","Yes"
"Virginia","Nottoway County","0","1","0","1","100","641.23","No","No"
"Virginia","Orange County","2","0","0","2","60","168.86","Yes","Yes"
"Virginia","Page County","2","0","0","2","60","253.66","Yes","Yes"
"Virginia","Patrick County","0","0","0","0","0","0","No","Yes"
"Virginia","Pittsylvania County","4","1","0","5","220","356.64","No","Yes"
"Virginia","Powhatan County","2","1","0","3","160","562.53","No","No"
"Virginia","Prince Edward County","0","1","0","1","100","432.11","Yes","Yes"
"Virginia","Prince George County","2","2","0","4","260","687.01","No","No"
"Virginia","Prince William County","8","2","4","14","1,540","338.31","No","Yes"
"Virginia","Pulaski County","0","2","0","2","200","584.74","Yes","No"
"Virginia","Rappahannock County","0","0","0","0","0","0","Yes","Yes"
"Virginia","Richmond County","0","0","0","0","0","0","No","Yes"
"Virginia","Roanoke County","35","9","3","47","2,775","2,951.15","Yes","No"
"Virginia","Rockbridge County","1","0","0","1","30","133.98","No","Yes"
"Virginia","Rockingham County","4","1","1","6","495","620.74","No","No"
"Virginia","Russell County","4","4","3","11","1,345","4,914.14","Yes","No"
"Virginia","Scott County","2","2","0","4","260","1,185.59","Yes","No"
"Virginia","Shenandoah County","0","0","0","0","0","0","No","Yes"
"Virginia","Smyth County","11","2","0","13","530","1,706.26","No","No"
"Virginia","Southampton County","0","0","0","0","0","0","No","Yes"
"Virginia","Spotsylvania County","1","2","1","4","505","382.55","Yes","Yes"
"Virginia","Stafford County","2","3","2","7","910","630.36","Yes","No"
"Virginia","Surry County","0","0","0","0","0","0","No","Yes"
"Virginia","Sussex County","2","0","0","2","60","521.56","No","No"
"Virginia","Tazewell County","1","1","0","2","130","308.42","Yes","Yes"
"Virginia","Warren County","3","0","1","4","365","932.19","Yes","No"
"Virginia","Washington County","9","2","3","14","1,295","2,388.68","No","No"
"Virginia","Westmoreland County","0","0","0","0","0","0","Yes","Yes"
"Virginia","Wise County","8","5","1","14","1,015","2,587.44","Yes","No"
"Virginia","Wythe County","4","3","1","8","695","2,395.23","Yes","No"
"Virginia","York County","1","0","0","1","30","44.13","No","Yes"
"Virginia","Alexandria city","10","4","2","16","1,250","802.26","No","No"
"Virginia","Bristol city","2","0","0","2","60","353.77","Yes","Yes"
"Virginia","Buena Vista city","0","0","0","0","0","0","Yes","Yes"
"Virginia","Charlottesville city","0","1","0","1","100","213.17","No","Yes"
"Virginia","Chesapeake city","9","2","0","11","470","197.53","Yes","Yes"
"Virginia","Colonial Heights city","0","0","0","0","0","0","Yes","Yes"
"Virginia","Covington city","0","0","0","0","0","0","No","Yes"
"Virginia","Danville city","0","0","0","0","0","0","No","Yes"
"Virginia","Emporia city","0","0","0","0","0","0","Yes","Yes"
"Virginia","Fairfax city","0","0","0","0","0","0","No","Yes"
"Virginia","Falls Church city","0","0","3","3","825","5,886.97","No","No"
"Virginia","Franklin city","0","0","0","0","0","0","Yes","Yes"
"Virginia","Fredericksburg city","9","0","1","10","545","1,926","Yes","No"
"Virginia","Galax city","0","0","0","0","0","0","No","Yes"
"Virginia","Hampton city","14","4","1","19","1,095","808.66","Yes","No"
"Virginia","Harrisonburg city","0","0","0","0","0","0","Yes","Yes"
"Virginia","Hopewell city","0","0","0","0","0","0","Yes","Yes"
"Virginia","Lexington city","0","0","0","0","0","0","Yes","Yes"
"Virginia","Lynchburg city","2","0","0","2","60","74.8","No","Yes"
"Virginia","Manassas city","6","1","2","9","830","2,000.82","No","No"
"Virginia","Manassas Park city","0","0","0","0","0","0","No","Yes"
"Virginia","Martinsville city","1","0","0","1","30","223.13","Yes","Yes"
"Virginia","Newport News city","13","2","2","17","1,140","626.98","Yes","No"
"Virginia","Norfolk city","14","3","4","21","1,820","742.51","Yes","No"
"Virginia","Norton city","0","0","0","0","0","0","Yes","Yes"
"Virginia","Petersburg city","0","0","0","0","0","0","Yes","Yes"
"Virginia","Poquoson city","1","0","0","1","30","249.65","Yes","Yes"
"Virginia","Portsmouth city","11","2","0","13","530","556.42","Yes","No"
"Virginia","Radford city","0","0","0","0","0","0","Yes","Yes"
"Virginia","Richmond city","31","13","4","48","3,330","1,492.14","Yes","No"
"Virginia","Roanoke city","10","6","0","16","900","903.07","No","No"
"Virginia","Salem city","0","0","0","0","0","0","No","Yes"
"Virginia","Staunton city","2","0","0","2","60","246.28","Yes","Yes"
"Virginia","Suffolk city","3","0","1","4","365","408.86","Yes","Yes"
"Virginia","Virginia Beach city","32","11","6","49","3,710","819.7","Yes","No"
"Virginia","Waynesboro city","0","0","0","0","0","0","Yes","Yes"
"Virginia","Williamsburg city","0","0","0","0","0","0","Yes","Yes"
"Virginia","Winchester city","9","4","1","14","945","3,434.37","Yes","No"
"Washington","Adams County","1","0","0","1","30","155.94","No","Yes"
"Washington","Asotin County","1","1","0","2","130","582.8","Yes","No"
"Washington","Benton County","30","14","9","53","4,775","2,465.33","Yes","No"
"Washington","Chelan County","30","3","1","34","1,475","1,932.2","No","No"
"Washington","Clallam County","26","9","0","35","1,680","2,252.92","Yes","No"
"Washington","Clark County","41","9","3","53","2,955","632.74","No","No"
"Washington","Columbia County","3","0","0","3","90","2,285.42","Yes","No"
"Washington","Cowlitz County","7","1","1","9","585","556.3","Yes","No"
"Washington","Douglas County","3","0","0","3","90","217.78","No","Yes"
"Washington","Ferry County","0","2","0","2","200","2,626.74","No","No"
"Washington","Franklin County","3","0","0","3","90","99.82","No","Yes"
"Washington","Garfield County","0","0","0","0","0","0","Yes","Yes"
"Washington","Grant County","5","3","1","9","725","775.02","No","No"
"Washington","Grays Harbor County","12","5","0","17","860","1,200.65","Yes","No"
"Washington","Island County","6","0","0","6","180","217.82","No","Yes"
"Washington","Jefferson County","7","0","1","8","485","1,557.53","Yes","No"
"Washington","King County","775","95","24","894","39,350","1,830.26","No","No"
"Washington","Kitsap County","48","6","1","55","2,315","874.21","No","No"
"Washington","Kittitas County","8","1","0","9","340","757.81","No","No"
"Washington","Klickitat County","0","2","0","2","200","938.92","Yes","No"
"Washington","Lewis County","8","0","0","8","240","311.42","Yes","Yes"
"Washington","Lincoln County","0","0","0","0","0","0","Yes","Yes"
"Washington","Mason County","6","0","0","6","180","289.4","Yes","Yes"
"Washington","Okanogan County","12","2","1","15","835","2,009.43","No","No"
"Washington","Pacific County","3","0","0","3","90","423.55","Yes","Yes"
"Washington","Pend Oreille County","2","3","0","5","360","2,743.28","Yes","No"
"Washington","Pierce County","117","15","8","140","7,210","837.1","No","No"
"Washington","San Juan County","3","1","0","4","190","1,162.86","Yes","No"
"Washington","Skagit County","15","6","3","24","1,875","1,516","Yes","No"
"Washington","Skamania County","1","0","0","1","30","260.64","No","Yes"
"Washington","Snohomish County","78","6","10","94","5,690","722.43","No","No"
"Washington","Spokane County","73","10","5","88","4,565","914.7","Yes","No"
"Washington","Stevens County","11","3","0","14","630","1,417.67","Yes","No"
"Washington","Thurston County","67","6","3","76","3,435","1,248.08","No","No"
"Washington","Wahkiakum County","0","0","0","0","0","0","No","Yes"
"Washington","Walla Walla County","14","0","0","14","420","696.06","Yes","No"
"Washington","Whatcom County","39","6","3","48","2,595","1,196.96","No","No"
"Washington","Whitman County","0","0","0","0","0","0","No","Yes"
"Washington","Yakima County","32","3","2","37","1,810","725.06","No","No"
"West Virginia","Barbour County","0","0","0","0","0","0","No","Yes"
"West Virginia","Berkeley County","16","9","4","29","2,480","2,184.54","Yes","No"
"West Virginia","Boone County","4","0","1","5","395","1,731.24","Yes","No"
"West Virginia","Braxton County","0","0","0","0","0","0","No","Yes"
"West Virginia","Brooke County","1","1","0","2","130","565.78","Yes","No"
"West Virginia","Cabell County","35","16","12","63","5,950","6,198.76","Yes","No"
"West Virginia","Calhoun County","0","0","0","0","0","0","No","Yes"
"West Virginia","Clay County","0","0","0","0","0","0","No","Yes"
"West Virginia","Doddridge County","0","0","0","0","0","0","No","Yes"
"West Virginia","Fayette County","2","1","0","3","160","360.99","No","Yes"
"West Virginia","Gilmer County","0","0","0","0","0","0","No","Yes"
"West Virginia","Grant County","0","0","0","0","0","0","Yes","Yes"
"West Virginia","Greenbrier County","2","2","0","4","260","736.98","Yes","No"
"West Virginia","Hampshire County","1","0","0","1","30","128.75","No","Yes"
"West Virginia","Hancock County","7","4","1","12","885","2,990.88","Yes","No"
"West Virginia","Hardy County","0","0","0","0","0","0","No","Yes"
"West Virginia","Harrison County","12","4","3","19","1,585","2,317.25","Yes","No"
"West Virginia","Jackson County","2","0","0","2","60","205.82","No","Yes"
"West Virginia","Jefferson County","7","3","0","10","510","904.77","Yes","No"
"West Virginia","Kanawha County","20","17","15","52","6,425","3,449.83","Yes","No"
"West Virginia","Lewis County","6","1","0","7","280","1,716.84","No","No"
"West Virginia","Lincoln County","0","0","0","0","0","0","No","Yes"
"West Virginia","Logan County","2","2","5","9","1,635","4,851.63","Yes","No"
"West Virginia","McDowell County","3","1","0","4","190","992.63","Yes","No"
"West Virginia","Marion County","4","0","1","5","395","698.65","Yes","No"
"West Virginia","Marshall County","12","3","4","19","1,760","5,535.81","Yes","No"
"West Virginia","Mason County","4","1","2","7","770","2,870.46","No","No"
"West Virginia","Mercer County","7","0","1","8","485","802.08","Yes","No"
"West Virginia","Mineral County","1","0","0","1","30","109.45","Yes","Yes"
"West Virginia","Mingo County","2","1","2","5","710","2,880.68","Yes","No"
"West Virginia","Monongalia County","28","7","8","43","3,740","3,574.77","No","No"
"West Virginia","Monroe County","0","0","0","0","0","0","No","Yes"
"West Virginia","Morgan County","0","0","0","0","0","0","No","Yes"
"West Virginia","Nicholas County","3","0","0","3","90","355.58","Yes","Yes"
"West Virginia","Ohio County","0","0","2","2","550","1,293.63","No","No"
"West Virginia","Pendleton County","0","0","0","0","0","0","Yes","Yes"
"West Virginia","Pleasants County","0","0","0","0","0","0","No","Yes"
"West Virginia","Pocahontas County","1","0","0","1","30","352.9","No","Yes"
"West Virginia","Preston County","0","0","0","0","0","0","No","Yes"
"West Virginia","Putnam County","4","6","4","14","1,820","3,196.29","Yes","No"
"West Virginia","Raleigh County","16","12","12","40","4,980","6,501.22","Yes","No"
"West Virginia","Randolph County","2","0","0","2","60","206.85","Yes","Yes"
"West Virginia","Ritchie County","0","0","0","0","0","0","No","Yes"
"West Virginia","Roane County","1","0","0","1","30","211.15","Yes","Yes"
"West Virginia","Summers County","0","0","0","0","0","0","Yes","Yes"
"West Virginia","Taylor County","1","1","0","2","130","771.1","No","No"
"West Virginia","Tucker County","0","0","0","0","0","0","No","Yes"
"West Virginia","Tyler County","0","0","0","0","0","0","No","Yes"
"West Virginia","Upshur County","1","0","0","1","30","121.66","No","Yes"
"West Virginia","Wayne County","2","4","0","6","460","1,134.93","No","No"
"West Virginia","Webster County","0","0","0","0","0","0","No","Yes"
"West Virginia","Wetzel County","0","0","0","0","0","0","Yes","Yes"
"West Virginia","Wirt County","0","0","0","0","0","0","No","Yes"
"West Virginia","Wood County","4","2","1","7","595","694.74","Yes","No"
"West Virginia","Wyoming County","0","0","0","0","0","0","Yes","Yes"
"Wisconsin","Adams County","0","1","0","1","100","498.28","No","No"
"Wisconsin","Ashland County","4","0","0","4","120","763.65","No","No"
"Wisconsin","Barron County","2","0","0","2","60","132.12","No","Yes"
"Wisconsin","Bayfield County","1","0","0","1","30","201.46","No","Yes"
"Wisconsin","Brown County","12","3","0","15","660","253.46","No","Yes"
"Wisconsin","Buffalo County","0","0","0","0","0","0","No","Yes"
"Wisconsin","Burnett County","2","0","0","2","60","394.4","No","Yes"
"Wisconsin","Calumet County","3","2","1","6","565","1,140.19","No","No"
"Wisconsin","Chippewa County","4","3","0","7","420","659.87","No","No"
"Wisconsin","Clark County","0","0","0","0","0","0","No","Yes"
"Wisconsin","Columbia County","3","1","0","4","190","333.76","Yes","Yes"
"Wisconsin","Crawford County","0","0","0","0","0","0","No","Yes"
"Wisconsin","Dane County","78","25","9","112","7,315","1,376.88","No","No"
"Wisconsin","Dodge County","6","0","0","6","180","204.39","No","Yes"
"Wisconsin","Door County","1","1","0","2","130","471.24","No","Yes"
"Wisconsin","Douglas County","1","0","0","1","30","68.95","No","Yes"
"Wisconsin","Dunn County","3","0","0","3","90","201.32","No","Yes"
"Wisconsin","Eau Claire County","3","3","0","6","390","378.77","No","Yes"
"Wisconsin","Florence County","0","0","0","0","0","0","No","Yes"
"Wisconsin","Fond du Lac County","11","3","0","14","630","616.78","No","No"
"Wisconsin","Forest County","0","0","0","0","0","0","No","Yes"
"Wisconsin","Grant County","2","0","0","2","60","114.91","No","Yes"
"Wisconsin","Green County","2","0","0","2","60","161.83","No","Yes"
"Wisconsin","Green Lake County","0","0","0","0","0","0","No","Yes"
"Wisconsin","Iowa County","1","0","0","1","30","126.83","No","Yes"
"Wisconsin","Iron County","0","1","0","1","100","1,746.42","No","No"
"Wisconsin","Jackson County","2","0","0","2","60","291.8","No","Yes"
"Wisconsin","Jefferson County","1","1","1","3","405","478.58","No","No"
"Wisconsin","Juneau County","1","0","0","1","30","114.18","Yes","Yes"
"Wisconsin","Kenosha County","3","1","0","4","190","112.97","No","Yes"
"Wisconsin","Kewaunee County","0","0","0","0","0","0","No","Yes"
"Wisconsin","La Crosse County","22","2","1","25","1,135","960.87","No","No"
"Wisconsin","Lafayette County","0","0","0","0","0","0","No","Yes"
"Wisconsin","Langlade County","1","1","0","2","130","676.34","No","No"
"Wisconsin","Lincoln County","1","0","0","1","30","107.52","No","Yes"
"Wisconsin","Manitowoc County","0","1","0","1","100","125.73","No","Yes"
"Wisconsin","Marathon County","4","1","1","6","495","365.04","No","Yes"
"Wisconsin","Marinette County","3","0","0","3","90","222.27","No","Yes"
"Wisconsin","Marquette County","0","0","0","0","0","0","No","Yes"
"Wisconsin","Menominee County","1","0","0","1","30","661.81","No","No"
"Wisconsin","Milwaukee County","154","36","20","210","13,720","1,442.01","Yes","No"
"Wisconsin","Monroe County","7","0","0","7","210","460.29","No","Yes"
"Wisconsin","Oconto County","0","0","0","0","0","0","No","Yes"
"Wisconsin","Oneida County","3","1","2","6","740","2,078.59","No","No"
"Wisconsin","Outagamie County","6","0","1","7","455","246.58","No","Yes"
"Wisconsin","Ozaukee County","11","4","1","16","1,005","1,137.98","No","No"
"Wisconsin","Pepin County","0","1","0","1","100","1,368.55","No","No"
"Wisconsin","Pierce County","1","0","0","1","30","72.75","No","Yes"
"Wisconsin","Polk County","0","0","0","0","0","0","No","Yes"
"Wisconsin","Portage County","3","4","0","7","490","695.56","No","No"
"Wisconsin","Price County","0","2","0","2","200","1,479.62","No","No"
"Wisconsin","Racine County","8","3","1","12","815","417.65","No","Yes"
"Wisconsin","Richland County","2","0","0","2","60","343.33","No","Yes"
"Wisconsin","Rock County","12","3","3","18","1,485","918.82","No","No"
"Wisconsin","Rusk County","0","0","0","0","0","0","No","Yes"
"Wisconsin","St. Croix County","2","0","0","2","60","68.16","No","Yes"
"Wisconsin","Sauk County","1","1","0","2","130","203.29","No","Yes"
